brand,processor_brand,processor_type,processor_generation,ram_gb,ram_type,ssd_gb,hdd_gb,os,bit,display,rating,recommend
HP,AMD,Ryzen 3,Unknown,8,DDR4,256,1024,Windows,64,15.6,4.3,0
ASUS,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,15.6,4.3,0
ASUS,Intel,Core i3,10th,8,DDR4,0,1024,Windows,64,14.1,3.9,0
HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,15.6,4.4,0
HP,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,15.6,4.2,0
Lenovo,Intel,Core i3,10th,8,DDR4,0,1024,Windows,64,15.6,4,0
DELL,Intel,Core i3,10th,8,DDR4,256,1024,Windows,64,15.6,5,1
Lenovo,Intel,Core i3,10th,8,DDR4,256,0,Windows,32,15.6,4.3,0
HP,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,15.6,4.1,0
HP,AMD,Ryzen 3,Unknown,8,DDR4,256,0,Windows,64,15.6,4.3,0
HP,AMD,Ryzen 5,Unknown,8,DDR4,512,0,Windows,64,15.6,4.5,1
Lenovo,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,14,4.2,0
DELL,AMD,Ryzen 3,Unknown,8,DDR4,0,1024,Windows,64,14,4.1,0
ASUS,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,14,4.4,0
HP,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,14,4.5,1
HP,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,14,4.2,0
APPLE,Apple,M1 Processor,Unknown,8,DDR4,256,0,Mac,64,13.3,4.7,1
ASUS,Intel,Core i7,10th,16,DDR4,512,0,Windows,64,15.6,4.3,0
HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,15.6,4.3,0
DELL,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,14,4.3,0
DELL,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,15.6,4.3,0
ASUS,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,15.6,4.5,1
ASUS,AMD,Ryzen 3,Unknown,8,DDR4,256,0,Windows,64,15.6,4.3,0
Lenovo,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,15.6,4.4,0
Acer,AMD,Ryzen 3,Unknown,8,DDR4,512,0,Windows,64,15.6,4.6,1
ASUS,Intel,Core i5,11th,8,DDR4,256,1024,Windows,32,15.6,4.3,0
ASUS,Intel,Core i7,10th,8,DDR4,512,0,Windows,64,15.6,4.5,1
DELL,AMD,Ryzen 3,Unknown,8,DDR4,256,0,Windows,64,15.6,4.3,0
ASUS,Intel,Core i5,10th,8,DDR4,256,1024,Windows,64,15.6,4.5,1
HP,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,14,4.6,1
DELL,AMD,Ryzen 5,Unknown,8,DDR4,256,0,Windows,64,14,4.3,0
Lenovo,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,15.6,0,0
Acer,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,15.6,0,0
Lenovo,AMD,Ryzen 5,Unknown,8,DDR4,512,0,Windows,64,15.6,4.5,1
Lenovo,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,15.6,4.2,0
Lenovo,AMD,Ryzen 5,Unknown,8,DDR4,512,0,Windows,64,15.6,4.4,0
Lenovo,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,14,4.2,0
