ram_gb,ssd_gb,hdd_gb,bit,display,rating,brand_APPLE,brand_ASUS,brand_Acer,brand_DELL,brand_HP,brand_Lenovo,brand_Nokia,brand_Vaio,processor_brand_AMD,processor_brand_Apple,processor_brand_Intel,processor_type_Core i3,processor_type_Core i5,processor_type_Core i7,processor_type_Core i9,processor_type_M1 Max,processor_type_M1 Pro,processor_type_M1 Processor,processor_type_Pentium Quad,processor_type_Pentium Silver,processor_type_Ryzen 3,processor_type_Ryzen 5,processor_type_Ryzen 7,processor_type_Ryzen 9,processor_generation_10th,processor_generation_11th,processor_generation_12th,processor_generation_9th,processor_generation_Unknown,os_Mac,os_Windows,ram_type_DDR4,ram_type_DDR5,ram_type_LPDDR3,ram_type_LPDDR4,ram_type_LPDDR4X,ram_type_Unified,recommend,Y_prediction
8.0,0,1024,64,14.96,3.1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
8.0,512,0,64,15.6,4.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
8.0,512,0,64,15.6,4.1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
16.0,1024,0,64,13.0,4.8,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
8.0,256,0,64,14.0,4.3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
16.0,256,1024,64,15.6,4.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
8.0,256,1024,64,15.6,4.3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
8.0,256,1024,64,15.6,4.2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
16.0,512,0,64,14.0,4.7,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1
8.0,512,0,64,15.6,4.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
16.0,1024,0,64,13.3,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
8.0,256,0,64,15.6,4.3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
16.0,1024,0,64,15.6,4.7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
